location,date,total_cases,new_cases,total_deaths,new_deaths,stringency_index,human_development_index
Australia,12/31/2019,0,0,0,0,0,0.939
Australia,1/1/2020,0,0,0,0,0,0.939
Australia,1/2/2020,0,0,0,0,0,0.939
Australia,1/3/2020,0,0,0,0,0,0.939
Australia,1/4/2020,0,0,0,0,0,0.939
Australia,1/5/2020,0,0,0,0,0,0.939
Australia,1/6/2020,0,0,0,0,0,0.939
Australia,1/7/2020,0,0,0,0,0,0.939
Australia,1/8/2020,0,0,0,0,0,0.939
Australia,1/9/2020,0,0,0,0,0,0.939
Australia,1/10/2020,0,0,0,0,0,0.939
Australia,1/11/2020,0,0,0,0,0,0.939
Australia,1/12/2020,0,0,0,0,0,0.939
Australia,1/13/2020,0,0,0,0,0,0.939
Australia,1/14/2020,0,0,0,0,0,0.939
Australia,1/15/2020,0,0,0,0,0,0.939
Australia,1/16/2020,0,0,0,0,0,0.939
Australia,1/17/2020,0,0,0,0,0,0.939
Australia,1/18/2020,0,0,0,0,0,0.939
Australia,1/19/2020,0,0,0,0,0,0.939
Australia,1/20/2020,0,0,0,0,0,0.939
Australia,1/21/2020,0,0,0,0,0,0.939
Australia,1/22/2020,0,0,0,0,0,0.939
Australia,1/23/2020,0,0,0,0,0,0.939
Australia,1/24/2020,0,0,0,0,0,0.939
Australia,1/25/2020,1,1,0,0,11.11,0.939
Australia,1/26/2020,4,3,0,0,11.11,0.939
Australia,1/27/2020,4,0,0,0,11.11,0.939
Australia,1/28/2020,4,0,0,0,11.11,0.939
Australia,1/29/2020,4,0,0,0,11.11,0.939
Australia,1/30/2020,6,2,0,0,11.11,0.939
Australia,1/31/2020,7,1,0,0,11.11,0.939
Australia,2/1/2020,9,2,0,0,19.44,0.939
Australia,2/2/2020,11,2,0,0,19.44,0.939
Australia,2/3/2020,11,0,0,0,19.44,0.939
Australia,2/4/2020,11,0,0,0,19.44,0.939
Australia,2/5/2020,12,1,0,0,19.44,0.939
Australia,2/6/2020,13,1,0,0,19.44,0.939
Australia,2/7/2020,14,1,0,0,19.44,0.939
Australia,2/8/2020,14,0,0,0,19.44,0.939
Australia,2/9/2020,14,0,0,0,19.44,0.939
Australia,2/10/2020,14,0,0,0,19.44,0.939
Australia,2/11/2020,14,0,0,0,19.44,0.939
Australia,2/12/2020,14,0,0,0,19.44,0.939
Australia,2/13/2020,14,0,0,0,19.44,0.939
Australia,2/14/2020,15,1,0,0,19.44,0.939
Australia,2/15/2020,15,0,0,0,19.44,0.939
Australia,2/16/2020,15,0,0,0,19.44,0.939
Australia,2/17/2020,15,0,0,0,19.44,0.939
Australia,2/18/2020,15,0,0,0,19.44,0.939
Australia,2/19/2020,15,0,0,0,19.44,0.939
Australia,2/20/2020,15,0,0,0,19.44,0.939
Australia,2/21/2020,17,2,0,0,19.44,0.939
Australia,2/22/2020,21,4,0,0,19.44,0.939
Australia,2/23/2020,22,1,0,0,19.44,0.939
Australia,2/24/2020,22,0,0,0,19.44,0.939
Australia,2/25/2020,22,0,0,0,19.44,0.939
Australia,2/26/2020,22,0,0,0,19.44,0.939
Australia,2/27/2020,23,1,0,0,19.44,0.939
Australia,2/28/2020,23,0,0,0,19.44,0.939
